Whiskey,Percent.whiskey,Rep,Style,o-Xylene,p-Xylene,Mesitylene,Furfural,Benzofuran,Benzaldehyde,"2-Furancarboxaldehyde, 5-methyl-",Benzonitrile,"Benzofuran, 2-methyl-",Naphthalene,"1H-Indene, 1-ethylidene-",trans-3-Methyl-4-octanolide,"Phenol, 2-methyl-","Phenol, 4-ethyl-2-methoxy-",Mesitylene,"Phenol, 3,4-dimethyl-","Phenol, 3-ethyl-5-methyl-","Phenol, 3-ethyl-",Dibenzofuran
Aberlour 12,50,3,SM,57560.34716,29752.07621,165869.4752,494608.4751,2875.761237,92778.49701,13867.41015,7426.652912,4511.203067,171456.7351,10187.58689,10515.96097,427.7321829,1935.936697,204885.6006,291.6625131,0,2355.669838,939.9550662
Aberlour 12,60,1,SM,68670.84406,35624.87483,186545.9426,551276.9872,3053.251222,96402.46362,14497.3674,8020.261173,3779.312599,139209.2066,6250.711696,11625.47058,265.2050201,1991.797944,234963.8269,84.21574089,61.3571702,2547.167562,43.79467638
Aberlour 12,60,2,SM,58703.88695,30292.01414,168494.6238,527818.1818,2676.554641,91824.40134,14935.34107,7663.349141,4345.153967,137372.3684,7015.690352,10037.00342,360.801283,1800.514587,203145.5944,51.38804418,0,2389.091034,185.1731773
Aberlour 12,60,3,SM,58812.19268,30476.04223,166620.3724,538408.5627,2240.538511,94156.45915,15303.10128,7278.707264,3737.748576,128918.6688,6183.042511,10188.1986,216.2347613,1923.067408,207154.2147,68.28232231,0,2316.275668,222.7548729
Aberlour 12,70,1,SM,81285.96849,40004.3026,193045.5225,593241.9035,3437.316137,101924.0478,16133.96905,8029.857254,4469.893264,176928.6493,9355.14183,10212.99818,514.1114823,1911.3732,253488.3349,261.9065621,91.82177096,2437.128356,745.0179535
Aberlour 12,70,2,SM,72578.25883,36585.72282,186749.2614,543413.0419,2454.11056,86552.99804,14545.67776,7315.428661,3975.809735,123946.299,6211.556777,9855.822472,352.8369836,1521.838236,233029.9837,92.2708153,0,2379.659175,274.7673529
Aberlour 12,70,3,SM,70618.82255,36072.93769,176182.4775,552610.22,2062.283872,87711.53355,14755.93179,7086.443428,3305.32982,109923.024,4789.220517,8824.709452,212.8364801,1467.106564,230026.222,107.2962535,54.97472703,2431.913794,33.10017101
Aberlour 12,80,1,SM,70711.75399,36993.54643,173798.2274,591214.8631,2744.137432,85813.4622,14435.90715,7842.663194,3267.642988,109852.7425,4436.865599,8584.968979,564.787758,1203.147284,226330.8558,0,0,2456.108029,0
Aberlour 12,80,2,SM,60449.1649,31489.57655,157050.6206,540376.7001,1486.747431,75327.82378,13001.09432,6196.524809,2731.376215,87547.14123,3884.168553,6890.769696,199.7372394,853.087771,199746.554,0,0,2359.315939,0
Aberlour 12,80,3,SM,64058.93657,34090.55652,162263.2792,566404.8059,2225.203707,86588.93431,14880.88951,7286.534872,3384.085396,133998.3607,6592.436407,7339.235531,359.7221534,1030.293276,211046.902,0,0,2396.606457,324.8433009
