Whiskey,Percent.whiskey,Rep,Style,"8-Nonenoic acid, ethyl ester",Ethyl trans-4-decenoate,Ethyl 9-decenoate,"Benzeneacetic acid, ethyl ester","10-Undecenoic acid, ethyl ester","Benzenepropanoic acid, ethyl ester",Ethyl 9-hexadecenoate,"Oxalic acid, decyl 2-phenylethyl ester"
Basil Hayden's,70,2,BU,24378.88907,282525.2422,0,22976.92834,292.6862719,0,4610.054741,2269.971583
Basil Hayden's,70,3,BU,35135.04488,405824.0555,2791.248122,29838.44141,0,0,14616.37919,6513.802843
Basil Hayden's,80,1,BU,23540.82629,229001.1959,0,26295.61441,0,432.6456637,14590.00376,5472.428096
Basil Hayden's,80,2,BU,20530.68332,214362.7338,0,30979.02355,182.39682,396.5586907,14229.02928,4765.55788
Basil Hayden's,80,3,BU,22433.42018,233400.1823,0,23135.75047,0,0,14275.53157,4308.700449
Basil Hayden's,90,1,BU,15377.11374,139131.1165,0,22216.77946,0,0,9259.602839,3076.318112
Basil Hayden's,90,2,BU,14434.81542,123358.1751,0,23557.4677,109.8399336,0,6737.282655,2601.296019
Basil Hayden's,90,3,BU,15482.1393,132678.0273,0,26072.39518,0,0,8633.07115,3826.522761
Basil Hayden's,100,1,BU,9429.324834,67883.17369,0,13702.66297,0,0,2748.190832,1426.707059
Basil Hayden's,100,2,BU,10042.22821,76729.71766,0,17041.39047,0,0,2317.03108,853.6694279
Basil Hayden's,100,3,BU,7190.983102,30420.21986,0,11457.6237,0,7.619109463,1438.01028,0
Black Bottle,50,1,BS,4437.051488,55633.74957,15850.50134,4175.964405,0,1206.303772,419840.7175,68597.59502
Black Bottle,50,2,BS,4227.478275,40579.7193,11974.73849,3966.088162,523.1673182,1633.811796,433347.281,55940.76403
Black Bottle,50,3,BS,4229.112396,53691.62753,14789.17364,3876.140744,557.7736115,1471.119416,297557.1126,39305.71145
Black Bottle,60,1,BS,3685.852092,38790.33925,10028.09406,4072.590878,853.0372679,2208.851432,437091.9727,66299.94422
Black Bottle,60,2,BS,3411.701312,40621.7774,10850.63073,3897.073786,0,1208.050579,429575.0394,51769.75212
Black Bottle,60,3,BS,3325.381624,30294.21793,7967.394382,3535.721115,0,1849.891665,330625.3299,46500.97038
Black Bottle,70,1,BS,2442.366211,16305.1323,3791.224576,3112.864491,0,1318.433823,370356.728,38289.48999
Black Bottle,70,2,BS,2582.987999,18927.11056,4444.977337,3297.941797,0,553.2302584,409136.4995,45736.21002
Black Bottle,70,3,BS,2276.931099,16950.68807,3807.081324,2952.325503,0,680.5668543,388213.4893,42684.26365
Black Bottle,80,1,BS,2233.183923,13289.20618,2209.832634,2599.12744,0,594.2553989,269962.7369,26807.67513
Black Bottle,80,2,BS,2339.816028,13634.58526,1434.341586,2225.950604,0,0,135670.4319,13832.53207
Black Bottle,80,3,BS,2056.906248,9424.202644,1509.530002,2318.221424,0,461.1999077,223426.6019,23189.95279
Black Bottle,90,1,BS,1286.263964,0,0,1883.810347,0,0,85452.97321,9261.556371
Black Bottle,90,2,BS,1523.754805,5794.335446,316.1784194,2373.608893,0,311.3222262,159499.948,18916.35009
Black Bottle,90,3,BS,1265.451058,0,0,2166.880492,0,1097.230463,135830.5116,13525.82978
Black Bottle,100,1,BS,910.3027903,438.0971962,0,1827.437443,0,739.8675964,67228.753,9948.243713
