Whiskey,Percent.whiskey,Rep,Style,D-Limonene,"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, [S-(Z)]-",o-Cymene
Bunnahabhain,50,1,SM,4810.972857,16848.68093,9472.066714
Bunnahabhain,50,2,SM,4047.22797,14495.115,8793.480922
Bunnahabhain,50,3,SM,5107.426973,14207.58335,9797.578313
Bunnahabhain,60,1,SM,4190.554875,9531.440575,7970.261362
Bunnahabhain,60,2,SM,4001.346551,9733.079432,7849.164724
Bunnahabhain,60,3,SM,3671.932489,10007.7412,7581.010714
Bunnahabhain,70,1,SM,3253.630529,4978.970684,5910.409396
Bunnahabhain,70,2,SM,3697.193516,3870.299065,6559.220082
Bunnahabhain,70,3,SM,3602.042121,5195.492665,6330.043944
Bunnahabhain,80,1,SM,3733.539642,1285.293765,5240.974321
Bunnahabhain,80,2,SM,3334.854337,1089.577759,5119.350255
Bunnahabhain,80,3,SM,3777.89783,1484.278188,5118.777253
Bunnahabhain,90,1,SM,2029.05672,0,3070.041683
Bunnahabhain,90,2,SM,2179.017237,0,3109.678042
Bunnahabhain,90,3,SM,2011.251813,0,2985.995369
Bunnahabhain,100,1,SM,1245.285588,0,2107.206856
Bunnahabhain,100,2,SM,1345.944826,0,2066.200858
Bunnahabhain,100,3,SM,1476.908864,0,2229.353187
Bushmills,50,1,IW,6429.083677,5066.677282,2216.487679
Bushmills,50,2,IW,4459.419523,3923.359388,1847.101669
Bushmills,50,3,IW,6466.116345,5921.210937,2209.010906
Bushmills,60,1,IW,5442.805651,3919.06629,1672.19615
Bushmills,60,2,IW,0,1819.38508,1316.537277
Bushmills,60,3,IW,5419.75156,3976.864458,1769.710624
Bushmills,70,1,IW,6971.710161,1007.118903,1855.967067
Bushmills,70,2,IW,6648.39011,763.7799449,1852.662149
Bushmills,70,3,IW,0,391.2332588,1579.663709
Bushmills,80,1,IW,0,0,1074.686333
Bushmills,80,2,IW,0,0,1312.720181
Bushmills,80,3,IW,0,0,1272.466213
Bushmills,90,1,IW,0,0,842.5158905
Bushmills,90,2,IW,3884.316168,0,977.0945592
Bushmills,90,3,IW,4042.978009,0,982.2403936
Bushmills,100,1,IW,3261.960711,0,712.7559417
Bushmills,100,2,IW,3636.201565,0,833.8109446
Bushmills,100,3,IW,3641.564858,0,752.9701116
Dewars,50,1,BS,7217.412137,12840.28464,8123.981792
Dewars,50,2,BS,7463.887539,13004.25849,8252.665928
Dewars,50,3,BS,7901.471566,14536.42054,8652.121382
Dewars,60,1,BS,9133.961968,8690.122276,8274.906722
Dewars,60,2,BS,7775.374595,8343.763195,7741.519431
Dewars,60,3,BS,7435.545407,9176.443735,7569.155668
Dewars,70,1,BS,9013.5952,4970.624921,7402.719068
Dewars,70,2,BS,8726.106542,5145.737813,7238.41712
Dewars,70,3,BS,9119.825947,6107.294121,7243.043918
Dewars,80,1,BS,7399.227873,1816.29654,5591.288723
Dewars,80,2,BS,7202.975079,1588.34178,5686.173698
Dewars,80,3,BS,7032.29996,1755.675227,5645.834626
Dewars,90,1,BS,4673.244544,0,3756.073439
Dewars,90,2,BS,5252.858802,220.8584569,4048.88979
Dewars,90,3,BS,5387.486795,254.5254063,4087.915866
Dewars,100,1,BS,3811.893204,0,2823.415345
Dewars,100,2,BS,3859.20177,0,2779.453398
Dewars,100,3,BS,3716.444185,0,2568.483408
Old Forester,50,1,BU,392359.3791,1902.872392,63517.16936
Old Forester,50,2,BU,0,2602.801804,55277.2451
Old Forester,50,3,BU,0,2909.780247,60339.95337
Old Forester,60,1,BU,396486.2122,811.9105255,57196.83517
Old Forester,60,2,BU,0,977.2512454,60990.99898
Old Forester,60,3,BU,0,585.879654,50200.20679
Old Forester,70,1,BU,0,0,45265.66408
Old Forester,70,2,BU,366557.8929,0,49992.57731
Old Forester,70,3,BU,0,0,39356.60887
Old Forester,80,1,BU,313263.926,0,37648.54152
Old Forester,80,2,BU,1275.015592,0,38791.35067
Old Forester,80,3,BU,293624.1124,0,36403.92024
Old Forester,90,1,BU,0,0,19048.12685
Old Forester,90,2,BU,70250.57022,0,20672.92692
Old Forester,90,3,BU,0,0,18527.79551
Old Forester,100,1,BU,110150.4769,0,14470.79781
Old Forester,100,2,BU,110375.789,0,14420.49507
Old Forester,100,3,BU,18095.82953,0,12090.15018
Glansa,50,1,BS,9531.823794,19981.15132,6481.549832
Glansa,50,2,BS,0,20012.96019,5450.656774
Glansa,50,3,BS,0,20662.7514,5025.38968
Glansa,60,1,BS,9006.492083,17225.53452,5671.581011
Glansa,60,2,BS,0,13244.96585,6151.451772
Glansa,60,3,BS,9773.827602,26792.06716,6302.530978
Glansa,70,1,BS,0,5223.238663,4317.005351
Glansa,70,2,BS,0,12486.72808,4126.350172
Glansa,70,3,BS,0,11258.02829,3676.686351
Glansa,80,1,BS,1657.115811,3839.023534,3605.945867
Glansa,80,2,BS,0,4013.398843,3192.739965
Glansa,80,3,BS,0,3063.719583,3222.119434
Glansa,90,1,BS,0,1054.702068,1843.639946
Glansa,90,2,BS,0,853.5166882,2127.99543
Glansa,90,3,BS,4383.003362,0,2405.491726
Glansa,100,1,BS,0,0,1792.81506
Glansa,100,2,BS,0,0,1769.45762
Glansa,100,3,BS,4032.327534,0,1997.845727
Glencadam,50,1,SM,39766.30298,26413.32288,15516.88967
Glencadam,50,2,SM,28215.07201,30451.56522,15607.82178
Glencadam,50,3,SM,42745.30909,31240.58648,16526.76976
Glencadam,60,1,SM,44296.86084,20704.04763,15499.48403
Glencadam,60,2,SM,42513.2611,20804.10808,14624.36427
Glencadam,60,3,SM,41706.89927,22284.70532,14533.91289
Glencadam,70,1,SM,39265.00767,12515.83209,12374.33442
Glencadam,70,2,SM,39270.1864,12384.47761,12076.25402
Glencadam,70,3,SM,38808.18389,12664.1591,12197.84561
Glencadam,80,1,SM,35105.52891,5962.568081,10040.23081
