Whiskey,Percent.whiskey,Rep,Style,1-Propanol,"1-Propanol, 2-methyl-",1-Butanol,"1-Butanol, 3-methyl-",1-Decanol,(Z)-4-Decen-1-ol,Phenylethyl Alcohol,1-Dodecanol,1-Tetradecanol,Octanoic acid,n-Decanoic acid,1-Hexadecanol,Dodecanoic acid
George T Stagg,50,3,BB,26292.5036,324739.8645,21285.47794,4478426.81,6462.662694,11587.73505,430130.313,0,481.8648419,5173.072114,16273.40299,2275.22016,1791.078524
George T Stagg,60,1,BB,28344.08812,327363.1533,20011.43917,4078759.307,3222.399823,5349.20005,190485.4514,0,0,0,12018.58155,0,0
George T Stagg,60,2,BB,28423.07317,332026.7884,21202.34239,4086405.275,3877.085468,6171.572567,203896.495,0,0,0,13045.19234,0,0
George T Stagg,60,3,BB,32956.52656,356716.3187,21967.82272,4271561.869,3746.35969,5845.829218,206798.8367,0,0,323.196891,12976.99577,0,0
George T Stagg,70,1,BB,35704.28534,345373.8079,19141.50321,3822463.392,3169.26952,2011.223886,132838.2236,0,0,0,11590.07761,0,0
George T Stagg,70,2,BB,35414.87561,340964.6581,18550.55738,3748279.847,2841.79275,1960.927982,175405.7407,0,0,0,11630.2736,0,0
George T Stagg,70,3,BB,34193.28678,341247.9571,19016.47577,3765828.298,4473.77112,2328.962603,137349.7169,0,0,0,11945.14039,0,0
George T Stagg,80,1,BB,40106.19622,337656.9724,16087.81449,3339006.692,305.7336062,0,116203.5293,0,0,0,9310.81433,0,0
George T Stagg,80,2,BB,39982.54006,334606.2275,16787.51685,3311388.026,529.9029604,0,111902.0535,0,0,0,10228.74812,0,0
George T Stagg,80,3,BB,42261.93481,349857.0351,17099.78612,3377803.226,573.360167,0,132778.7072,0,0,0,10534.39685,0,0
George T Stagg,90,1,BB,42962.18225,329481.3544,15678.7445,3009720.566,249.2076897,0,117427.9158,0,0,0,9448.964468,0,0
George T Stagg,90,2,BB,44745.71118,331040.2411,15455.88058,2996265.535,172.1797677,0,117242.8096,0,0,0,9798.786821,0,0
George T Stagg,90,3,BB,43916.87864,334172.1796,15661.89485,3088827.135,123.0406848,0,147702.8412,0,0,0,9281.526886,0,0
George T Stagg,100,1,BB,45559.02574,317105.4171,14316.1653,2713149.532,135.0718189,0,117100.6833,0,0,0,9851.588779,0,0
George T Stagg,100,2,BB,47526.21184,329699.8432,14997.3869,2800993.178,166.2587785,0,113914.6488,0,0,0,9222.610172,0,0
George T Stagg,100,3,BB,42533.18458,298283.4854,13420.04628,2573663.464,137.4065691,0,108708.3154,0,0,0,9264.751171,0,0
Teeling,50,1,IW,61223.18494,183848.5301,15067.52628,592722.1485,10058.45968,0,9539.159163,4951.7399,11084.9292,3625.19598,36022.55576,5325.999366,17822.79323
Teeling,50,2,IW,47990.50813,256980.3111,16628.02858,581097.9609,12110.23994,0,9666.747522,5725.396624,14261.90356,4060.752589,34370.10345,5988.331562,18389.27549
Teeling,50,3,IW,34280.17045,275609.8285,16087.86433,594902.3953,12957.34198,0,11593.89615,5760.3246,10859.49234,5197.948023,41562.98065,4498.228335,18812.84471
Teeling,60,1,IW,55238.34129,316364.0181,31772.00495,645951.268,8078.302677,0,10342.34601,3082.350838,8883.217996,2996.960044,26320.44527,4485.796979,10918.81033
Teeling,60,2,IW,43812.02647,347764.4081,40902.22925,709845.2961,8729.545544,0,10594.571,3138.104545,10895.52151,3577.753087,29989.66777,5437.028159,15389.37233
Teeling,60,3,IW,60716.39369,331441.7786,28982.55462,656805.0021,6809.608246,0,10188.1854,2284.724831,6894.297563,2643.141829,23988.30485,3638.167175,11682.11303
Teeling,70,1,IW,55919.80884,398233.5625,66332.88303,738903.6093,5054.576059,0,11739.99755,192.5227501,4165.495052,2110.568126,15870.94388,4546.439829,4514.263332
Teeling,70,2,IW,72060.56168,373514.6633,38716.80863,694973.2921,4338.927798,0,11973.66035,0,1405.022916,1820.466497,14204.4641,3244.601977,3160.028137
Teeling,70,3,IW,52383.36159,404800.6802,59000.45751,760471.9773,4199.237978,0,11007.00929,0,2518.324111,1202.729753,12973.69222,3466.830625,2063.329052
Teeling,80,1,IW,63832.42383,435894.4337,66899.87296,756473.1076,2213.330004,0,9024.165016,0,0,454.6332715,12632.02556,1101.087588,0
Teeling,80,2,IW,66950.61328,449874.7643,68862.58405,758358.3783,1940.51304,0,8734.593993,0,0,0,11679.5465,1081.382438,0
Teeling,80,3,IW,88982.2793,431577.0909,57611.51787,733625.8402,1487.868924,0,9707.288592,0,0,433.938339,11339.90287,903.4472836,997.2794091
Teeling,90,1,IW,64484.20498,425009.8357,63467.8905,661400.8255,359.3052242,0,8875.075151,0,0,0,9077.954247,364.1020689,372.7369592
