Whiskey,Percent.whiskey,Rep,Style,"Butanoic acid, ethyl ester","Butanoic acid, 3-methyl-, ethyl ester","Pentanoic acid, ethyl ester","Hexanoic acid, ethyl ester","Heptanoic acid, ethyl ester","Octanoic acid, ethyl ester",Isopentyl hexanoate,"Nonanoic acid, ethyl ester","Decanoic acid, ethyl ester","Octanoic acid, 3-methylbutyl ester","Butanedioic acid, diethyl ester",n-Capric acid isobutyl ester,"Dodecanoic acid, ethyl ester","Pentadecanoic acid, 3-methylbutyl ester",Isobutyl laurate,"Tetradecanoic acid, ethyl ester",Isoamyl laurate,"Hexadecanoic acid, ethyl ester"
Basil Hayden's,80,3,BU,95067.28815,30063.8627,17901.19784,1594675.206,158704.7802,15592097.41,179741.5522,434010.2201,15308269.81,591469.1637,19295.42463,56163.77401,6217060.795,366040.5936,3858.412137,827007.6016,18079.1275,573940.1808
Basil Hayden's,90,1,BU,87167.2385,25805.53515,15340.11182,1235655.983,116090.8724,12273776.1,118986.4256,267050.5582,11033072.56,326008.6461,18984.87217,27727.94049,3517144.807,175881.0391,1242.314145,455253.3948,10992.67212,515961.9004
Basil Hayden's,90,2,BU,90499.91952,25543.60964,15290.05596,1044544.247,108771.932,11582849.56,98921.51956,239295.3689,10382896.03,277071.1023,18356.47245,26322.69479,3166001.902,175759.4974,1448.941484,297520.5217,9184.84555,374846.7501
Basil Hayden's,90,3,BU,84530.45519,24217.68328,15001.53218,1011213.102,109278.4959,11893178.14,104183.3427,258652.8056,10901755.17,287852.982,18894.95273,26201.67492,3495503.046,169135.7855,1307.982622,426603.8848,9766.272524,478675.8081
Basil Hayden's,100,1,BU,82791.00412,22500.60756,13046.48507,1001901.886,86809.01688,9408609.24,73812.55354,149431.264,7047140.156,146580.8799,19507.39506,9594.926041,1234898.358,49103.07733,0,59999.61253,1752.211156,76757.1604
Basil Hayden's,100,2,BU,81903.34228,22708.20384,13386.48541,1012040.347,87105.87342,9355167.897,75520.69683,156651.4606,7297231.421,163542.7743,15917.21925,13589.81418,1588451.414,87665.83359,0,72190.84706,3291.788622,63213.73972
Basil Hayden's,100,3,BU,65842.03051,31249.28071,9735.392263,681452.1466,81092.34371,5654303.025,89395.61949,144789.8971,3806103.91,102560.1864,20739.10643,5077.848653,219862.1828,12675.99941,0,3195.10699,733.7929149,13942.21279
Black Bottle,50,1,BS,26825.3317,16357.14012,4396.303052,388092.9208,34811.52837,13476744.57,31961.41149,222546.4113,23350486.59,636866.0061,9677.338925,167088.3402,13294522.59,828324.7378,11176.59515,515850.9852,31281.80163,247619.6955
Black Bottle,50,2,BS,23524.64724,13711.38602,3632.794281,275230.752,28138.32583,12493389.55,26191.34268,197440.5317,22489892.87,571643.7811,8843.500912,151171.6509,12774655.24,787147.3882,10718.03646,523294.2978,33898.54557,340392.9266
Black Bottle,50,3,BS,25883.04356,15452.7739,4056.454148,346498.7485,31706.60841,13409115.5,29594.47354,214079.1871,23932142.33,645401.7022,9027.444299,157315.9706,13007627.05,749801.6782,8617.973187,440422.7172,28829.90243,319407.9055
Black Bottle,60,1,BS,23414.03724,13906.90833,3518.214501,305786.7474,26755.97145,11612174.53,24377.04569,174753.357,21062304.78,539270.8895,9075.637236,158222.4039,12952463.78,891912.7368,12529.78054,582442.1442,33464.10783,265651.6998
Black Bottle,60,2,BS,23659.74433,13649.85502,3345.551463,288871.531,26206.85606,11978240.38,24784.85834,176994.5049,21782509.76,557199.8671,9249.695905,157995.6511,13301888.59,879709.0255,12427.60347,572615.5621,36985.4139,324531.4506
Black Bottle,60,3,BS,22670.422,12959.02436,3302.340153,252361.9484,23321.1467,10983532.85,21116.86516,159436.1883,20728304.38,490672.9625,8507.511014,146242.4828,12534665.82,799111.8028,9813.934259,471311.836,28003.1612,269751.5722
Black Bottle,70,1,BS,27013.39558,15269.72074,3854.644164,186506.7155,19769.51834,9636961.689,16734.39141,115059.9022,17495484.77,355381.4968,7082.555603,104198.1664,10664479.2,747321.4305,11387.7428,533486.9043,34480.29644,304634.4589
Black Bottle,70,2,BS,27619.68797,16025.77229,3619.292878,225019.3771,21322.78905,9800251.285,17815.11732,119324.8327,17689454.65,368814.796,7600.831708,116760.9198,11244802.46,776252.7882,12650.63055,561901.047,36816.90863,277657.3169
Black Bottle,70,3,BS,26702.35191,15222.23264,3540.59402,206773.185,19927.12777,9452547.118,16458.72669,110966.6924,17250993.92,349236.7787,7188.785888,113719.503,11099226.09,777404.7106,12612.27042,573505.1036,37633.6921,271403.322
Black Bottle,80,1,BS,28345.77752,16016.24606,3653.161787,244065.6288,19609.55134,8444645.041,14436.20993,82324.58798,13957992.32,236186.4661,7440.613556,67103.77993,7625793.141,491531.0732,7869.811044,386474.4358,28934.00339,217988.9043
Black Bottle,80,2,BS,29691.66153,16555.17868,3620.261935,250302.1738,20609.08038,8533071.494,15055.96574,81813.28162,13823600.03,236354.5135,7594.249859,65340.14986,7118091.046,467136.0234,6766.133899,316818.5519,23878.29264,188365.7482
Black Bottle,80,3,BS,27005.58846,14767.84217,3329.291739,225848.1728,18375.25032,7985181.489,13338.36381,75219.57243,13534838.21,217584.3329,6774.005323,63011.41996,7486323.236,463290.1906,7228.993785,345891.4261,27237.39866,193107.0245
Black Bottle,90,1,BS,23601.7447,12210.46744,2666.543169,91712.57416,12046.95643,5728106.314,8486.444904,44049.88516,9560982.874,105617.5267,6325.992943,29288.37694,4234606.866,235257.7665,3141.23132,175868.014,15397.24864,162665.8932
Black Bottle,90,2,BS,25465.67428,13386.61234,3015.73463,192224.1994,14643.08402,6392297.713,9618.869176,50597.92772,10066633.58,127547.6934,6806.481868,33252.78963,4729589.498,244162.0907,3404.164427,192152.4387,16528.61612,182271.7733
Black Bottle,90,3,BS,24622.05375,12736.87855,2764.532918,155478.3014,13502.46432,5957132.109,9159.110523,48349.83185,9679329.791,114067.7492,7164.339445,31168.58498,4266019.428,262523.4906,3545.591912,220896.6767,16907.9108,196693.1295
Black Bottle,100,1,BS,23283.77634,11519.78876,2223.956521,138227.4608,10479.55381,4502376.512,6195.317344,30113.59905,6689931.113,61968.79655,5659.732796,14532.86736,2330980.705,122134.57,698.1700387,91939.52603,6478.285362,61328.5709
Black Bottle,100,2,BS,21962.14516,11337.30166,2285.887989,127636.1734,9897.713422,4437638.658,6101.052224,28834.0531,6808520.594,57491.96543,5183.591312,14280.62149,2470468.353,101488.6479,321.5803077,66262.4371,5265.301053,57707.93295
Black Bottle,100,3,BS,19615.86111,10415.90614,2335.524184,73868.06404,8621.662492,4017960.321,5408.070874,27476.01099,6318102.666,47891.55494,4977.497955,12507.30137,2128000.517,97027.96402,213.2998336,61298.12959,4446.332471,45756.78688
Bulleit,50,1,RW,77651.93255,46330.61354,27759.1245,1689138.952,355405.0356,13644317.09,295005.7398,1419649.575,17648813.4,709810.491,35596.16323,84218.60846,6642691.369,320988.1543,5211.428443,608217.5228,19096.19904,288240.8761
Bulleit,50,2,RW,77988.42227,46291.28481,28052.9426,1678113.682,356801.3027,14109833.7,316022.0745,1552708.574,18658579.79,780348.9949,34625.0921,90019.37894,6884382.739,322755.9881,4652.774209,540318.8513,16259.48098,226205.3585
Bulleit,50,3,RW,76254.95406,45333.43614,27509.2812,1659572.629,350049.1378,13871464.4,301362.4455,1465835.157,18042068.01,724293.5557,34063.50898,82051.96029,6431244.887,291373.5261,3980.203757,476560.8687,14109.74148,189915.7329
Bulleit,60,1,RW,72417.38114,41000.13473,24192.5637,1368319.703,270764.6575,11931030.02,235995.4119,1128371.556,15907581.55,626826.2846,33920.1276,85562.86557,6650531.429,337474.1626,5792.313084,703315.2823,21348.8248,414618.1201
Bulleit,60,2,RW,71186.30819,40601.27663,23889.36057,1375769.629,272275.1845,12022216.45,239502.9911,1152543.656,16015002.92,636857.8617,34112.18752,85306.64738,6617913.76,334504.9941,5303.71964,645461.9458,18915.21958,325287.182
Bulleit,60,3,RW,73564.92361,42005.92884,25129.21045,1394666.927,274400.0112,11930641.74,231076.9121,1078428.211,15663525.36,597158.355,34401.00345,79595.49359,6385294.335,317628.7703,5241.432936,638043.5344,18864.72272,295776.246
Bulleit,70,1,RW,67289.11096,35735.54172,21017.5141,1068002.067,194738.3477,9414899.596,151271.9038,674478.5021,11964290.21,388072.4136,30319.14931,57259.28787,5056068.792,273985.6923,5595.052767,697728.6947,21802.54364,450099.5953
Bulleit,70,2,RW,63880.71015,33945.70506,19856.1221,1026638.136,184467.339,9077520.132,139848.1954,615161.1337,11395815.51,355772.042,28114.57926,52638.85961,4871704.715,266082.5091,5561.675103,690858.8069,22560.40733,393611.6762
