Whiskey,Percent.whiskey,Rep,Style,"1-Butanol, 2-methyl-, acetate","1-Butanol, 3-methyl-, acetate","Acetic acid, 2-phenylethyl ester",Lauryl acetate,Ethyl Acetate,"Acetic acid, decyl ester",1-Tetradecyl acetate,"Farnesol, acetate","Acetic acid, hexyl ester","Acetic acid, heptyl ester"
Old Forester,100,3,BU,130589.0741,596326.9166,168303.2688,0,4635015.033,0,0,0,23874.58321,8841.406421
Glansa,50,1,BS,159048.9512,913529.9767,718407.2625,10039.47356,1673041.775,69955.11333,6034.155538,13727.0319,33028.14783,8434.843129
Glansa,50,2,BS,147834.4876,810562.2758,690243.009,9536.183575,1635628.883,59553.09794,7716.322382,13693.01564,27720.294,6681.768649
Glansa,50,3,BS,136258.792,754739.587,683027.76,9086.78809,1527227.529,58690.02406,6390.235649,13743.95266,25594.69564,6101.483608
Glansa,60,1,BS,141809.5761,820510.583,705122.7864,11343.6231,1682954.194,57474.91839,9438.122919,15802.57032,28479.38947,6483.230669
Glansa,60,2,BS,152309.6665,880493.4729,667742.1557,9432.365087,1844356.109,55091.03186,5754.041452,12338.58768,29564.28851,7294.958919
Glansa,60,3,BS,157929.036,929430.3677,788278.5734,13983.57077,1815670.38,64651.60886,10522.13137,22496.58328,31782.66044,7812.595591
Glansa,70,1,BS,126739.8448,696272.7462,530900.0438,9189.14283,1801824.324,37507.91536,5692.356342,8366.70518,21963.35856,4765.949228
Glansa,70,2,BS,112279.6242,677713.5279,569673.585,12813.91361,1796252.647,39078.68612,9576.390671,16896.64588,20538.05104,4586.233354
Glansa,70,3,BS,55032.97621,389595.3054,545896.6036,11462.46928,1824141.984,34618.46511,9355.461,16211.41591,19980.9064,4404.101334
Glansa,80,1,BS,104811.8248,600461.0058,491588.71,9252.920995,1713091.302,25881.52662,11510.4164,8379.632435,18781.29893,3784.493246
Glansa,80,2,BS,51736.23622,346734.0742,476710.8852,8916.626591,1855983.228,22565.16525,11103.81902,9442.893823,17146.46382,3670.079978
Glansa,80,3,BS,47511.58025,343584.0613,460773.6191,8102.129955,1910395.976,21371.69287,10700.91125,8175.068252,17281.8176,3812.284345
Glansa,90,1,BS,70557.98351,482117.5441,388243.1709,2762.883173,1727065.359,11162.47141,3469.675688,2613.667791,14617.70419,2909.841079
Glansa,90,2,BS,88627.78656,511565.4232,406071.9245,3043.692032,1715557.818,12176.10624,4591.776655,2596.216131,16314.74386,3225.100501
Glansa,90,3,BS,95846.7271,546039.4955,375781.4013,2144.219066,1614724.908,13231.23866,1958.638736,1397.900221,17805.21671,3284.189458
Glansa,100,1,BS,74635.79712,427148.3407,336282.4214,885.1963439,1638411.747,6765.910474,554.673501,1140.898996,13738.04107,2162.19767
Glansa,100,2,BS,76619.09141,409952.1373,241440.1214,306.6803731,1741841.454,5073.56993,0,366.3671564,13000.51118,2536.31337
Glansa,100,3,BS,83852.94187,479990.5462,310746.0865,769.4861381,1776048.855,6362.016457,177.7384653,674.1224682,15020.8604,2049.602289
Glencadam,50,1,SM,176678.8661,955647.8103,623599.9317,16021.88187,3578814.926,63622.37324,23658.20144,9624.798012,76887.91107,15727.30683
Glencadam,50,2,SM,167327.9994,905264.1932,669294.3929,18346.68726,3425368.575,68594.27216,26841.10861,11659.00767,75533.34451,15344.28001
Glencadam,50,3,SM,175675.9519,968927.4664,653673.3851,17791.33644,3369996.82,67420.09089,26685.49774,11797.27647,78769.99543,16545.73197
Glencadam,60,1,SM,167506.2589,907716.8486,564215.3087,18248.96819,3639265.508,64606.90106,27065.03162,11208.60438,67726.74786,12595.01174
Glencadam,60,2,SM,160925.623,857754.7085,577878.7498,18767.22055,3535139.746,66073.2604,24616.51332,9673.528153,63365.72295,12081.475
Glencadam,60,3,SM,155956.113,865571.3672,582061.6998,18575.55414,3524964.35,62043.04929,25698.71506,10512.89182,64890.05304,12747.85275
Glencadam,70,1,SM,133415.6795,747490.5486,450197.6801,18684.86109,3604164.26,45840.52249,26809.0836,8569.966855,51729.02265,9219.080422
Glencadam,70,2,SM,134187.4395,746085.268,453961.7658,18305.01889,3550265.24,46030.69907,26118.54467,8152.466467,52546.27171,9515.973991
Glencadam,70,3,SM,135953.1004,743673.741,469593.7766,19243.8685,3572741.046,48166.90124,27383.17395,7811.388411,51452.32762,9384.61419
Glencadam,80,1,SM,119940.2821,665396.5538,366714.9195,16487.00441,4042269.549,28920.2945,29345.8306,5867.977001,44005.98929,7339.168769
Glencadam,80,2,SM,116589.6055,622614.4309,336264.9328,15430.81508,3852825.385,28532.10983,27884.98439,5447.749817,40771.69137,6471.243779
Glencadam,80,3,SM,120018.8337,631530.0055,346123.1207,15057.44463,3770229.808,28737.0715,25186.33217,5724.742438,41844.08008,5944.407617
